epoch,acc,loss,val_acc,val_loss
0,0.45216680333347276,0.41684041239887792,0.70486111111111116,0.25208878020445508
1,0.70512820512820518,0.22191757804308182,0.68214285884584702,0.23572654724121095
2,0.71218315656323561,0.19205222157601537,0.64642857142857146,0.22891117419515336
3,0.74243663133214166,0.16937529296292111,0.75357142857142856,0.19875856041908263
4,0.78168438266557649,0.15122767349587829,0.86071428912026537,0.16480195266859873
5,0.81602616526509342,0.13209286703745654,0.88214285884584698,0.1373550410781588
6,0.85445625550027571,0.12353875482559984,0.83214286054883679,0.14989651186125619
7,0.85854456294099524,0.11995845189956203,0.89285714626312251,0.12090615885598319
8,0.88634505324546953,0.10648370611550666,0.90000000340597974,0.10501588795866285
9,0.87489779270387336,0.1058735290903199,0.89642857142857146,0.093666551794324607
10,0.8904333609786077,0.097889982352759738,0.90357143027441844,0.092594162055424284
11,0.90678659035159448,0.091673245974865883,0.907142858845847,0.087694588942187179
12,0.89860997586004676,0.091752818760478097,0.90277777777777779,0.087948701861831874
13,0.89697465288375888,0.089892693990970968,0.939285717691694,0.071964401219572344
14,0.88716271502603206,0.091331962298050531,0.91785714456013268,0.081741699576377863
15,0.91332788264663711,0.079210641875387899,0.91428571598870412,0.076055227432932179
16,0.91332788264663711,0.082754519625657524,0.9214285748345511,0.072969748505524221
17,0.90678659035159448,0.079203288526999982,0.91428571598870412,0.076314107860837657
18,0.89370400693118324,0.086816827982103634,0.92142857142857137,0.074607716607195992
19,0.91414554374488965,0.074102178359143775,0.93928571598870414,0.062594750949314659
20,0.91496320562292488,0.076328476054787348,0.90714285714285714,0.079465157645089282
21,0.90188062142273095,0.079621054533677127,0.90714286054883686,0.077359913502420705
22,0.91332788235421858,0.075559965723962536,0.91071428912026542,0.070978142321109772
23,0.91986917425936987,0.074010547734827459,0.91071428912026542,0.066532432607242037
24,0.91332788225674566,0.073410933908876194,0.91428571598870412,0.070470062111105236
25,0.91087489818220535,0.073229875656199664,0.90277777777777779,0.074575350102451116
26,0.90188062142273095,0.079694057086015083,0.9250000017029899,0.065584399018968856
27,0.90515126776519805,0.077826635133800989,0.92013888888888884,0.063814440535174474
28,0.91251022076860178,0.074306157439679082,0.93214285884584702,0.059882281082017083
29,0.90678659035159448,0.075587299571677938,0.93571428912026544,0.060376697352954319
30,0.92477514309076048,0.069034661850964352,0.9250000017029899,0.061791508325508664
31,0.9092395749622354,0.070588033972269967,0.91785714626312254,0.063484258843319763
32,0.90678659074148582,0.071685404170271028,0.91785714626312254,0.073608193652970444
33,0.91496320523303354,0.066161407655804055,0.90000000170298988,0.081163824030331205
34,0.90923957481602613,0.070134277713659446,0.92142857313156123,0.064559357081140786
35,0.91087489818220535,0.070435931636530752,0.9285714285714286,0.06707526189940316
36,0.90515126747277952,0.073632153374000545,0.91428571598870412,0.067747162495340615
37,0.91578086672117742,0.069727824545501207,0.91428571769169398,0.066139955180031906
38,0.91332788225674566,0.069744148371605627,0.9214285748345511,0.064339032343455727
39,0.92313982050436394,0.067383210128287463,0.91071428912026542,0.059857678839138576
40,0.90842191342535505,0.072340786895689568,0.90357143027441844,0.080053636644567758
41,0.91823385128308199,0.068852412839551874,0.92500000340597965,0.057355273408549172
42,0.9046474358974359,0.071629662544299394,0.92142857142857137,0.061193279655916352
43,0.92313982021194541,0.067891055603838318,0.91428571769169398,0.062232789184365957
44,0.90923957520591758,0.07165934954475206,0.91785714285714282,0.061371480354240962
45,0.91087489779231401,0.069424788966372872,0.90357143027441844,0.069999921747616364
46,0.91659852820932131,0.067795870836309405,0.92013888888888884,0.064135482327805624
47,0.90842191371777359,0.066263554360373331,0.9214285748345511,0.054760679389749253
48,0.91578086672117742,0.067144198396463226,0.92142857142857137,0.059448782248156411
49,0.91905151267375307,0.065524026567614399,0.939285717691694,0.054375696607998437
50,0.91578086681865023,0.06764295096535812,0.90714285714285714,0.063988774163382389
51,0.91087489779231401,0.066978376361793504,0.91785714456013268,0.062565900172506059
52,0.91823385157550053,0.064592843849397744,0.92500000340597965,0.065517764432089676
53,0.90678659035159448,0.071936043781987591,0.91666666666666663,0.065369327035215169
54,0.91578086672117742,0.065317075391919124,0.92142857313156123,0.061387730709144051
55,0.90269828330076629,0.07015269509808314,0.92013888888888884,0.060808998843034111
56,0.91905151277122588,0.066562126636602603,0.92857143197740832,0.05620838637862887
57,0.91005723640164293,0.066950119178946249,0.907142858845847,0.071361499811921802
58,0.9051512673753066,0.069244674372677908,0.91071428741727556,0.07067848720720836
59,0.90188062181262241,0.072964103053265283,0.91428571769169398,0.068233590679509293
60,0.914145544134781,0.062667230834068083,0.91666666666666663,0.061312099504801959
61,0.90923957481602613,0.067347263059870488,0.91428571769169398,0.065523560983794082
62,0.91251022115849323,0.067337368253256008,0.92013888888888884,0.062684053969052106
63,0.91414554374488965,0.066035101525653048,0.90714286054883686,0.072654962113925387
64,0.91005723640164293,0.068631926339762381,0.92361111111111116,0.058168636841906443
65,0.91905151267375307,0.063668323222331499,0.91071428741727556,0.06486267426184246
66,0.91087489818220535,0.065653554333689162,0.92708333333333337,0.057893778507908188
67,0.91905151306364441,0.067866945573763091,0.91071428741727556,0.059725667004074369
68,0.91005723630417013,0.065993909404985451,0.92142857142857137,0.059261766927582879
69,0.91823385118560918,0.064692420364096337,0.92500000000000004,0.06148439209376063
70,0.92150449713818483,0.06161389558386432,0.92857143197740832,0.058451003687722346
71,0.91986917416189695,0.060486671696047704,0.92857143027441846,0.057018308767250607
72,0.914145544134781,0.068207488475231878,0.9214285748345511,0.064806505824838365
73,0.91823385157550053,0.063716371590157361,0.9035714319774083,0.074037190846034454
74,0.92150449752807617,0.063443028131227264,0.92142857142857137,0.057546346847500117
75,0.92641046606704824,0.057853613709779615,0.91785714456013268,0.062348429645810811
76,0.91578086681865023,0.067062568196681119,0.92500000340597965,0.062229116580315998
